City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Yuzhnyy,RU,53.25,83.69,32.0,76,44,11.18,scattered clouds
Batagay-Alyta,RU,67.8,130.41,17.24,88,98,3.02,overcast clouds
Lake Havasu City,US,34.48,-114.32,84.2,11,40,4.7,scattered clouds
Hamilton,US,39.18,-84.53,55.99,87,90,3.36,moderate rain
Atuona,PF,-9.8,-139.03,78.31,76,1,19.77,clear sky
Lata,PT,40.16,-8.33,63.0,72,39,9.17,scattered clouds
Kruisfontein,ZA,-34.0,24.73,58.26,77,100,3.98,overcast clouds
Severo-Kurilsk,RU,50.68,156.12,49.03,80,53,10.67,light rain
Tornio,FI,65.85,24.15,33.8,90,90,13.87,light rain
Mahebourg,MU,-20.41,57.7,77.0,69,40,10.29,scattered clouds
Puerto Ayora,EC,-0.74,-90.35,70.0,90,99,8.01,overcast clouds
Sao Filipe,CV,14.9,-24.5,79.86,80,91,1.68,overcast clouds
Nokha,IN,27.6,73.42,91.45,15,2,11.52,clear sky
Zhangjiakou,CN,40.81,114.88,58.95,32,0,4.43,clear sky
Lethem,GY,3.38,-59.8,78.03,73,13,7.94,few clouds
Harper,LR,4.38,-7.72,76.06,90,92,7.05,moderate rain
Ponta Do Sol,PT,32.67,-17.1,73.4,83,75,34.45,broken clouds
Constitucion,CL,-35.33,-72.42,48.16,72,0,8.55,clear sky
Bathsheba,BB,13.22,-59.52,77.0,88,20,4.7,few clouds
Alibag,IN,18.64,72.88,84.2,83,75,3.36,haze
Kargasok,RU,59.06,80.86,33.3,87,90,12.26,overcast clouds
Hobart,AU,-42.88,147.33,63.0,66,75,11.41,broken clouds
Ahipara,NZ,-35.17,173.17,62.6,76,50,10.78,scattered clouds
Bay Village,US,41.48,-81.92,53.01,81,90,4.7,overcast clouds
Katsuura,JP,35.13,140.3,64.4,55,75,8.05,broken clouds
Skagen,DK,57.72,10.58,44.01,79,100,3.0,overcast clouds
Castro,BR,-24.79,-50.01,58.08,94,79,8.1,broken clouds
Avarua,CK,-21.21,-159.78,77.0,78,46,5.82,scattered clouds
Berlevag,NO,70.86,29.09,28.4,92,90,3.36,overcast clouds
Vostok,RU,46.49,135.88,40.95,63,0,9.53,clear sky
Meulaboh,ID,4.14,96.13,87.37,57,70,3.89,broken clouds
Markova,UA,48.68,24.41,37.0,86,63,5.23,broken clouds
San Angelo,US,31.46,-100.44,57.0,69,0,4.0,clear sky
Gushi,CN,34.64,109.58,70.14,34,0,3.51,clear sky
Kavieng,PG,-2.57,150.8,85.66,62,53,5.61,broken clouds
Itaituba,BR,-4.28,-55.98,76.14,71,83,0.16,broken clouds
Uberaba,BR,-19.75,-47.93,69.73,81,95,12.82,overcast clouds
La Ronge,CA,55.1,-105.28,24.8,79,90,2.24,light snow
Vidim,RU,56.41,103.11,31.73,91,100,12.46,overcast clouds
Goderich,CA,43.75,-81.72,46.99,86,100,10.27,overcast clouds
Kurchum,KZ,48.57,83.65,42.04,55,0,12.95,clear sky
Sinnamary,GF,5.38,-52.95,79.45,83,1,9.42,clear sky
Dingle,PH,11.0,122.67,84.94,77,99,8.81,light rain
Sistranda,NO,63.73,8.83,41.0,86,75,14.99,shower rain
Erzin,TR,36.96,36.2,71.01,87,0,1.01,clear sky
Velikooktyabrskiy,RU,57.43,33.82,36.1,84,100,10.78,overcast clouds
Chokurdakh,RU,70.63,147.92,18.7,98,90,6.64,overcast clouds
Grindavik,IS,63.84,-22.43,41.0,75,0,18.34,clear sky
Port Elizabeth,ZA,-33.92,25.57,53.6,93,90,2.24,overcast clouds
Pontianak,ID,-0.03,109.33,89.85,56,59,4.92,broken clouds
Hlotse,LS,-28.87,28.05,69.71,24,0,3.8,clear sky
Santa Maria,BR,-29.68,-53.81,64.56,71,0,4.59,clear sky
Port Alfred,ZA,-33.59,26.89,63.48,78,76,5.86,broken clouds
Hilo,US,19.73,-155.09,77.0,78,90,4.7,overcast clouds
Ibra,OM,22.69,58.53,89.08,11,0,11.83,clear sky
Griffith,US,41.53,-87.42,39.99,100,1,5.95,clear sky
Iqaluit,CA,63.75,-68.51,32.0,93,20,24.16,few clouds
Carnarvon,AU,-24.87,113.63,75.2,64,50,18.34,scattered clouds
Hithadhoo,MV,-0.6,73.08,83.28,75,74,14.32,broken clouds
Sitka,US,57.05,-135.33,39.2,86,75,4.7,broken clouds
Chilca,PE,-12.52,-76.74,62.6,82,27,10.29,scattered clouds
Fort Nelson,CA,58.81,-122.7,19.4,67,20,2.8,few clouds
Bethanien,NA,-26.5,17.16,70.43,22,0,1.5,clear sky
Dikson,RU,73.51,80.55,25.48,96,26,27.69,scattered clouds
Rio Cuarto,AR,-33.13,-64.35,74.32,65,0,11.77,clear sky
Ust-Kuyga,RU,70.02,135.6,20.3,96,100,7.11,overcast clouds
Desbiens,CA,48.42,-71.95,50.0,53,90,8.05,overcast clouds
Landau,DE,49.21,8.11,48.0,90,100,1.01,overcast clouds
Nantucket,US,41.28,-70.1,55.0,70,1,5.82,clear sky
Fremont,US,37.55,-121.99,66.99,63,1,1.01,clear sky
Abalak,RU,58.13,68.59,34.68,86,100,10.13,overcast clouds
Chapada Dos Guimaraes,BR,-15.46,-55.75,77.0,78,75,11.41,moderate rain
Haines Junction,CA,60.75,-137.51,23.61,82,100,0.94,overcast clouds
Axim,GH,4.87,-2.24,76.95,87,61,5.61,broken clouds
Husavik,IS,66.04,-17.34,39.2,69,90,6.93,overcast clouds
Hokitika,NZ,-42.72,170.97,55.54,87,99,20.04,light rain
Shaunavon,CA,49.65,-108.42,9.41,90,4,1.14,clear sky
Paducah,US,37.08,-88.6,59.0,93,90,6.93,mist
Fairbanks,US,64.84,-147.72,19.4,67,90,2.42,overcast clouds
Banjarmasin,ID,-3.32,114.59,80.6,83,40,6.93,scattered clouds
Ribeira Grande,PT,38.52,-28.7,62.82,72,9,19.6,light rain
Lagoa Santa,BR,-19.63,-43.89,64.4,82,75,10.29,broken clouds
Liverpool,GB,53.41,-2.98,48.99,87,98,8.05,overcast clouds
Upington,ZA,-28.45,21.26,62.6,17,0,5.82,clear sky
Aksarka,RU,66.56,67.8,19.13,96,6,6.11,clear sky
Debre Birhan,ET,9.68,39.53,52.93,63,0,5.23,clear sky
Hermanus,ZA,-34.42,19.23,55.99,89,83,1.86,broken clouds
Victoria,HK,22.29,114.16,80.01,64,10,1.99,clear sky
Alice Springs,AU,-23.7,133.88,73.4,60,75,11.41,light intensity drizzle
Kwinana,AU,-32.25,115.77,82.99,36,0,8.05,clear sky
Kloulklubed,PW,7.04,134.26,78.8,88,90,17.22,light intensity shower rain
Umm Lajj,SA,25.02,37.27,89.49,31,0,1.68,clear sky
Olga,RU,43.74,135.29,56.35,38,0,5.32,clear sky
Cabo San Lucas,MX,22.89,-109.91,82.0,83,2,1.01,clear sky
Qui Nhon,VN,13.77,109.23,81.99,80,100,4.29,moderate rain
Cabatuan,PH,10.88,122.49,85.23,76,97,10.09,moderate rain
Port Hedland,AU,-20.32,118.57,87.8,43,0,20.8,clear sky
Novopokrovka,UA,49.84,36.55,37.4,86,75,4.47,broken clouds
Rio Grande,BR,-32.03,-52.1,64.99,95,0,9.44,light rain
Methoni,GR,36.82,21.7,61.0,87,11,8.61,few clouds
Hanko,FI,59.83,22.95,36.0,87,100,15.99,light rain
Evensk,RU,61.95,159.23,37.8,91,100,6.78,light rain
Narsaq,GL,60.92,-46.05,41.0,80,98,6.93,light intensity shower rain
Tiksi,RU,71.69,128.87,16.38,94,96,19.26,overcast clouds
Conceicao Da Barra,BR,-18.59,-39.73,71.4,78,99,5.68,overcast clouds
Georgetown,MY,5.41,100.34,87.8,70,20,3.36,light rain
Tuktoyaktuk,CA,69.45,-133.04,14.0,92,40,4.7,scattered clouds
Torbay,CA,47.67,-52.73,53.01,100,90,2.24,mist
Mpika,ZM,-11.83,31.45,68.7,56,0,8.37,clear sky
Chuy,UY,-33.7,-53.46,61.39,92,0,6.69,clear sky
Neyshabur,IR,36.21,58.8,59.86,25,0,1.77,clear sky
Mar Del Plata,AR,-38.0,-57.56,68.0,88,90,8.05,heavy intensity rain
Kyakhta,RU,50.35,106.45,45.61,53,100,4.12,overcast clouds
Mangrol,IN,21.12,70.12,85.69,68,70,6.82,broken clouds
San Vicente,AR,-26.62,-54.13,64.13,69,0,2.24,clear sky
Cockburn Town,TC,21.46,-71.14,82.09,74,99,13.24,overcast clouds
Yantzaza,EC,-3.83,-78.76,64.54,84,75,1.41,broken clouds
Vaitape,PF,-16.52,-151.75,80.35,80,73,12.28,broken clouds
Turbat,PK,26.0,63.04,87.08,11,0,23.24,clear sky
Port Hardy,CA,50.7,-127.42,50.0,100,90,2.24,light rain
Banda Aceh,ID,5.56,95.32,89.19,54,53,10.87,light rain
East London,ZA,-33.02,27.91,59.0,82,40,4.7,scattered clouds
Knysna,ZA,-34.04,23.05,51.8,100,100,4.7,overcast clouds
Aranjuez,ES,40.03,-3.6,55.0,66,27,4.7,scattered clouds
Matara,LK,5.95,80.54,85.95,64,84,13.27,light rain
Shache,CN,38.42,77.24,67.08,23,0,6.4,clear sky
Aklavik,CA,68.22,-135.01,6.8,77,20,2.24,few clouds
Quatre Cocos,MU,-20.21,57.76,79.0,69,40,10.29,scattered clouds
Krasnyy Chikoy,RU,50.36,108.75,49.26,47,95,0.98,overcast clouds
Katangli,RU,51.71,143.23,35.58,71,46,15.59,scattered clouds
Bandarbeyla,SO,9.49,50.81,81.66,64,0,2.55,clear sky
Monrovia,LR,6.3,-10.8,76.32,88,100,3.11,light rain
Marathon,US,44.9,-89.77,28.4,68,1,5.82,clear sky
Talaya,RU,61.38,152.75,28.69,93,94,9.93,overcast clouds
Tromso,NO,69.65,18.96,26.6,92,20,11.41,few clouds
Nelson Bay,AU,-32.72,152.15,66.99,72,75,12.75,shower rain
Itarema,BR,-2.92,-39.92,79.86,78,38,16.26,scattered clouds
Faanui,PF,-16.48,-151.75,79.54,81,75,12.15,broken clouds
Thomaston,US,32.89,-84.33,60.8,82,1,6.93,clear sky
Rawson,AR,-43.3,-65.1,55.89,37,0,25.28,clear sky
Kenai,US,60.55,-151.26,35.01,86,90,6.93,overcast clouds
Palmer,US,42.16,-72.33,44.01,93,1,3.53,clear sky
Saint-Philippe,RE,-21.36,55.77,79.0,69,75,13.87,broken clouds
Khatanga,RU,71.97,102.5,10.54,91,2,7.72,clear sky
Shirgaon,IN,19.7,72.7,82.4,83,75,4.7,haze
Kanashevo,RU,55.22,62.06,41.0,56,20,17.9,few clouds
Todos Santos,MX,23.45,-110.22,80.01,84,2,1.01,clear sky
Samarai,PG,-10.62,150.67,81.97,80,70,10.96,broken clouds
Nicoya,CR,10.15,-85.45,74.93,92,100,1.21,overcast clouds
Pisco,PE,-13.7,-76.22,62.6,77,0,6.93,clear sky
Scarborough,GB,54.28,-0.4,48.0,90,71,1.01,broken clouds
Grand Forks,US,47.94,-97.43,30.2,50,90,5.82,overcast clouds
Mariinsk,RU,56.21,87.75,33.51,85,98,15.21,overcast clouds
Bay-Khaak,RU,51.17,94.5,31.98,80,100,11.41,overcast clouds
Asau,RO,46.43,26.4,46.4,100,41,2.24,scattered clouds
Puerto Escondido,MX,15.85,-97.07,78.8,74,40,5.82,scattered clouds
Middelburg,ZA,-25.78,29.46,74.52,35,15,6.62,few clouds
Haverfordwest,GB,51.8,-4.97,50.0,93,98,9.17,overcast clouds
Khrebtovaya,RU,56.7,104.25,29.44,93,100,11.65,overcast clouds
Chapais,CA,49.78,-74.85,42.8,81,90,16.11,light rain
Kaitangata,NZ,-46.28,169.85,52.0,86,100,7.47,overcast clouds
Coslada,ES,40.42,-3.56,52.0,81,46,3.36,scattered clouds
Marquette,US,46.53,-87.63,30.0,75,4,7.0,clear sky
Rafraf,TN,37.19,10.18,59.0,77,20,3.36,few clouds
Valparaiso,CL,-33.04,-71.63,46.4,100,0,2.24,clear sky
Namatanai,PG,-3.67,152.43,85.57,63,53,4.05,broken clouds
Puerto Leguizamo,CO,-0.19,-74.78,71.26,97,100,1.07,overcast clouds
Jiazi,CN,22.88,116.07,77.65,67,34,15.66,scattered clouds
Ariquemes,BR,-9.91,-63.04,71.67,92,81,2.95,light rain
Longyearbyen,SJ,78.22,15.64,26.6,73,75,12.75,broken clouds
Bonnyville,CA,54.27,-110.73,23.0,62,90,4.7,overcast clouds
Krasnoselkup,RU,65.7,82.47,20.95,97,74,10.78,broken clouds
Port Said,EG,31.26,32.28,77.0,78,20,5.82,few clouds
Hwange,ZW,-18.37,26.5,75.38,23,0,0.96,clear sky
Dondo,MZ,-19.61,34.74,72.14,75,61,3.8,broken clouds
Lakes Entrance,AU,-37.88,147.98,62.01,64,19,5.99,few clouds
Whitehorse,CA,60.72,-135.05,23.0,67,90,2.24,overcast clouds
Piranshahr,IR,36.7,45.14,63.7,25,0,2.66,clear sky
Tiarei,PF,-17.53,-149.33,84.0,78,20,13.87,few clouds
Boyolangu,ID,-8.12,111.89,84.04,68,81,8.1,light rain
Ilulissat,GL,69.22,-51.1,55.4,35,100,12.75,overcast clouds
Adrar,MR,20.5,-10.07,80.6,28,0,8.72,clear sky
Mayor Pablo Lagerenza,PY,-19.93,-60.77,76.71,70,11,9.04,few clouds
College,US,64.86,-147.8,19.4,67,90,2.3,overcast clouds
Kon Tum,VN,14.35,108.0,77.72,80,99,2.01,light rain
Saint Anthony,US,45.02,-93.22,32.0,71,90,3.36,overcast clouds
Nayoro,JP,44.35,142.46,52.25,62,27,11.07,scattered clouds
Saskylakh,RU,71.92,114.08,19.33,97,96,6.2,overcast clouds
Pozo Colorado,PY,-23.49,-58.8,72.59,73,5,5.7,clear sky
Ketchikan,US,55.34,-131.65,42.8,93,90,3.36,overcast clouds
Boddam,GB,57.47,-1.78,48.2,87,90,6.93,light rain
Henties Bay,NA,-22.12,14.28,57.99,91,0,3.0,clear sky
Yarmouth,US,41.71,-70.23,53.6,93,1,1.43,clear sky
Bereda,ES,43.27,-7.54,57.0,100,100,1.99,overcast clouds
Ewa Beach,US,21.32,-158.01,82.4,69,20,10.29,few clouds
Pyay,MM,18.82,95.22,85.75,75,55,1.88,moderate rain
Vila Franca Do Campo,PT,37.72,-25.43,64.4,63,40,19.46,scattered clouds
Diffa,NE,13.32,12.61,81.16,18,0,5.77,clear sky
Caravelas,BR,-17.71,-39.25,71.91,79,91,7.16,overcast clouds
Lagoa Do Itaenga,BR,-7.94,-35.29,77.0,83,40,9.17,scattered clouds
Aleksandrovsk-Sakhalinskiy,RU,50.9,142.16,39.02,62,21,17.54,few clouds
Snina,SK,48.99,22.15,39.0,92,93,2.8,overcast clouds
Srednekolymsk,RU,67.45,153.68,23.88,98,89,2.35,overcast clouds
Kodiak,US,57.79,-152.41,41.0,86,90,5.17,overcast clouds
Klamath Falls,US,42.22,-121.78,53.6,58,1,9.17,clear sky
Wasilla,US,61.58,-149.44,33.01,92,90,3.36,overcast clouds
Fort Smith,US,35.39,-94.4,68.0,88,90,12.75,overcast clouds
Okahandja,NA,-21.98,16.92,73.4,15,0,5.82,clear sky
Kaeo,NZ,-35.1,173.78,64.0,71,51,11.27,broken clouds
Olinda,BR,-8.01,-34.86,77.0,83,40,9.17,scattered clouds
Mecca,SA,21.43,39.83,86.43,14,0,2.01,clear sky
Fortuna,US,40.6,-124.16,55.99,100,90,3.36,overcast clouds
Torres,BR,-29.34,-49.73,63.07,88,0,9.26,light rain
Urzhum,RU,57.11,50.0,40.55,83,45,13.89,scattered clouds
Buenavista,PH,8.98,125.41,81.25,80,99,3.02,light rain
Alofi,NU,-19.06,-169.92,74.68,81,100,15.05,overcast clouds
Mount Gambier,AU,-37.83,140.77,59.0,58,90,10.29,overcast clouds
Vozdvizhenka,RU,43.9,131.95,59.0,28,0,8.95,clear sky
Baherden,TM,38.44,57.43,69.04,21,0,9.51,clear sky
Kokopo,PG,-4.35,152.26,84.27,68,88,2.68,light rain
Japura,ID,-0.32,102.35,97.86,44,80,1.16,broken clouds
Xichang,CN,27.9,102.26,56.8,70,100,1.66,overcast clouds
Shingu,JP,33.73,135.98,60.8,87,75,3.36,light rain
Tautira,PF,-17.73,-149.15,84.0,78,20,13.87,few clouds
Hailun,CN,47.45,126.93,52.93,42,0,8.3,clear sky
Dorokhovo,RU,55.55,36.37,37.4,93,75,8.95,broken clouds
Okha,RU,53.57,142.95,32.32,94,100,21.65,overcast clouds
Peniche,PT,39.36,-9.38,62.01,82,25,8.99,scattered clouds
Horqueta,PY,-23.34,-57.06,69.42,79,3,5.5,clear sky
Half Moon Bay,US,37.46,-122.43,64.99,77,5,2.13,clear sky
Tura,IN,25.52,90.22,87.19,63,1,1.39,clear sky
Bardiyah,LY,31.76,25.09,72.45,86,65,8.95,broken clouds
Lalibela,ET,12.03,39.03,60.48,49,1,3.11,clear sky
Rockland,US,41.17,-74.05,48.0,92,47,3.69,scattered clouds
Avanigadda,IN,16.02,80.92,84.2,83,40,2.24,light rain
Shizunai,JP,42.33,142.37,59.67,51,3,14.09,clear sky
Sokolovskoye,RU,45.26,40.68,62.8,80,86,2.64,overcast clouds
Slave Lake,CA,55.28,-114.77,19.4,73,90,5.82,overcast clouds
Hualmay,PE,-11.1,-77.61,61.12,85,11,9.1,few clouds
Guerrero Negro,MX,27.98,-114.06,72.03,73,98,7.25,overcast clouds
Tupiza,BO,-21.45,-65.72,58.5,53,8,3.62,clear sky
Goksun,TR,38.02,36.5,60.8,67,1,4.7,clear sky
Belmonte,BR,-15.86,-38.88,71.6,88,75,5.82,broken clouds
Bouna,CI,9.27,-3.0,72.05,93,19,2.8,light rain
Shahr-E Babak,IR,30.12,55.12,59.67,19,0,2.21,clear sky
Kanniyakumari,IN,8.08,77.57,83.64,69,95,15.73,overcast clouds
Imst,AT,47.27,10.67,37.99,100,34,3.36,scattered clouds
Broome,US,42.25,-75.83,51.01,66,75,6.93,broken clouds
Nurobod,UZ,40.91,69.8,62.6,33,0,2.24,clear sky
Bubaque,GW,11.28,-15.83,81.63,88,8,13.96,clear sky
New Iberia,US,30.0,-91.82,71.6,100,1,8.05,clear sky
Carinhanha,BR,-14.3,-43.77,74.03,71,69,5.7,broken clouds
Raudeberg,NO,61.99,5.14,37.4,93,100,6.93,overcast clouds
Poli,TZ,-3.33,36.8,60.8,87,20,4.63,few clouds
Provideniya,RU,64.38,-173.3,35.6,93,20,4.47,few clouds
Raga,SS,8.46,25.68,70.79,90,5,2.66,clear sky
Doha,QA,25.29,51.53,88.0,51,0,4.7,clear sky
Paamiut,GL,61.99,-49.67,40.21,90,99,11.16,overcast clouds
Troitsko-Pechorsk,RU,62.71,56.2,31.71,99,100,7.65,overcast clouds
Lavrentiya,RU,65.58,-171.0,34.63,88,11,6.2,few clouds
Samana,DO,19.21,-69.34,76.73,86,84,5.97,broken clouds
Wanaka,NZ,-44.7,169.15,49.51,81,100,4.05,overcast clouds
Lucapa,AO,-8.42,20.74,67.35,91,3,2.44,clear sky
Qasigiannguit,GL,68.82,-51.19,55.4,35,100,12.75,overcast clouds
Urusha,RU,54.05,122.9,32.54,86,97,4.16,overcast clouds
San Patricio,US,28.02,-97.52,78.8,83,20,10.29,few clouds
Oxnard,US,34.2,-119.18,66.2,93,90,5.82,overcast clouds
Yurga,RU,55.72,84.89,34.54,83,71,14.2,broken clouds
Gao,ML,16.64,1.64,85.15,18,29,7.76,scattered clouds
Manokwari,ID,-0.87,134.08,78.51,86,100,5.91,overcast clouds
Auki,SB,-8.77,160.7,82.65,78,40,2.08,moderate rain
Certeze,RO,47.9,23.47,43.0,100,90,2.24,overcast clouds
Halifax,CA,44.65,-63.57,50.0,94,46,6.08,scattered clouds
Castlebar,IE,53.85,-9.3,55.99,93,100,10.67,overcast clouds
Nuuk,GL,64.18,-51.72,39.2,100,100,27.51,light snow
Leningradskiy,RU,69.38,178.42,24.39,88,0,7.63,clear sky
Man,CI,7.41,-7.55,70.27,95,55,0.54,broken clouds
Vestmannaeyjar,IS,63.44,-20.27,43.07,65,0,13.8,clear sky
Bestobe,KZ,52.5,73.1,42.04,58,57,14.07,broken clouds
Bucak,TR,37.46,30.59,68.0,87,40,6.93,light rain
Topolevo,RU,48.5,135.2,42.8,28,20,13.42,few clouds
Talnakh,RU,69.49,88.4,10.4,92,20,11.18,mist
Tilichiki,RU,60.47,166.1,36.43,92,89,7.49,overcast clouds
Abu Dhabi,AE,24.47,54.37,80.6,44,0,4.7,clear sky
Hobyo,SO,5.35,48.53,81.14,76,27,13.47,scattered clouds
Bandarban,BD,22.2,92.23,89.6,66,75,4.7,broken clouds
Skegness,GB,53.14,0.34,48.99,89,30,7.0,scattered clouds
Beloha,MG,-25.17,45.05,75.18,57,0,9.73,clear sky
Pescantina,IT,45.48,10.87,46.99,93,44,2.24,mist
Ankazoabo,MG,-22.28,44.52,81.75,44,28,7.56,scattered clouds
